,TimeStamp,Title,Years of Experiences ,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site
325,2024-02-22 20:01:57.018000,Social media specialist ,2,8000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
326,2024-02-22 20:07:54.825000,Call centre Germany ,0,5000,2024-02-22 00:00:00,Egyption,Remotley,Full Time,Cairo 
328,2024-02-22 20:09:28.834000,Deputy section head in sales,4,12000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
330,2024-02-22 20:10:00.645000,Call center ,4,6000,2024-02-29 00:00:00,Egyption,On Site,Full Time,
331,2024-02-22 20:10:49.822000,Representative ,7,5000 i know that is not fair to my efforts ,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo 
333,2024-02-22 20:11:15.129000,Sales,1,Sales,2024-01-01 00:00:00,Egyption,Remotley,Full Time,
334,2024-02-22 20:13:19.387000,Technical support ,7,10000,2024-02-25 00:00:00,Egyption,On Site,Full Time,
335,2024-02-22 20:14:57.695000,Civil engineer,5,20000,2024-02-22 00:00:00,Egyption,On Site,Part Time,Cairo
336,2024-02-22 20:14:57.859000,Pharmacist ,1.5,3000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Suez
337,2024-02-22 20:16:00.399000,Frappe Developer,0,7000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Giza
339,2024-02-22 20:17:38.076000,Administrator ,3,5000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
341,2024-02-22 20:22:07.986000,Faculty of commerce ,14,35000,2023-07-01 00:00:00,Egyption,On Site,Full Time,Cairo
342,2024-02-22 20:24:13.636000,Ai Engineer ,2,7000,2024-02-22 00:00:00,Egyption,Remotley,Full Time,cairo
343,2024-02-22 20:24:45.172000,Seals,3,2900,2020-12-28 00:00:00,Egyption,On Site,Part Time,Cairo 
344,2024-02-22 20:25:32.282000,Senior full stake developer ,7,20000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
347,2024-02-22 20:26:54.549000,Sustainability and ESG Specialist,1,8800,2023-03-01 00:00:00,Egyption,On Site,Full Time,
348,2024-02-22 20:27:15.910000,Broker ,1,3000,2001-10-01 00:00:00,Egyption,On Site,Full Time,Mansoura
349,2024-02-22 20:31:17.217000,Solution Architect ,11,250000,2024-01-01 00:00:00,Egyption,Remotley,Part Time,"Cairo, Startup and I am consult them remotely as a part timer. "
350,2024-02-22 20:31:22.599000,Front-End Developer,2,10k,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
351,2024-02-22 20:32:13.578000,Senior architect ,6,25000,2023-11-09 00:00:00,Egyption,On Site,Full Time,Cairo
352,2024-02-22 20:32:50.018000,Full-stack developer,2,5000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
353,2024-02-22 20:32:53.536000,Interior designer ,1,3500,2024-02-29 00:00:00,Egyption,On site and remotly,Full Time,Kafr el sheikh
354,2024-02-22 20:33:37.066000,Machine Learning Engineer,1,$1000,2024-02-22 00:00:00,Egyption,Remotley,Full Time,Cairo
355,2024-02-22 20:34:23.857000,Bachelor’s degree ,Zero,Zero,2024-06-30 00:00:00,Egyption,Hybird,Full Time,Cairo 
356,2024-02-22 20:34:44.055000,Graphic designer ,5,7500,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
358,2024-02-22 20:35:26.374000,Medical rep,0-2,1500 gross,2024-02-22 00:00:00,Egyption,On Site,Full Time,Alex
360,2024-02-22 20:35:31.111000,.net developer,4 month,10000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
362,2024-02-22 20:37:07.479000,Agricultural engineer,1,7000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
364,2024-02-22 20:37:55.712000,Odoo Developer,5,21000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
365,2024-02-22 20:39:12.450000,Marketing executive,10,19000,2023-03-05 00:00:00,Egyption,Remotley,Full Time,Cairo
366,2024-02-22 20:39:23.891000,Front end developer,2,10k,2024-02-22 00:00:00,Egyption,Remotley,Part Time,cairo
367,2024-02-22 20:40:22.743000,.Net software developer ,1,13000,2024-01-28 00:00:00,Egyption,Remotley,Full Time,Cairo
369,2024-02-22 20:41:05.612000,Electrical engineer ,7,18000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
370,2024-02-22 20:41:08.821000,Frontend developer,1,4000,2023-02-01 00:00:00,Egyption,On Site,Full Time,Mansoura
374,2024-02-22 20:45:01.811000,Network engineer ,0,10000,2024-02-22 00:00:00,Egyption,On Site,Full Time,
375,2024-02-22 20:46:18.235000,frontend developer,0,9000,1995-02-20 00:00:00,Egyption,Hybird,Full Time,cairo
376,2024-02-22 20:48:17.851000,Interior designer ,3,8000,2023-12-30 00:00:00,Egyption,Hybird,Full Time,Cairo
377,2024-02-22 20:48:32.610000,Network Engineer ,Less 1 years ,10000,2024-02-22 00:00:00,Egyption,Remotley,Full Time,Cairo
380,2024-02-22 20:52:37.415000,System engineer ,3,20000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Kuwait 
381,2024-02-22 20:53:36.510000,Senior Node js developer,3,47000,2024-01-25 00:00:00,Egyption,Hybird,Full Time,Saudi Arabia 
382,2024-02-22 20:54:22.857000,Software Developer,4,25000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Alexandria
385,2024-02-22 20:59:24.699000,Senior frontend ,5,2500$,2023-01-01 00:00:00,Egyption,Remotley,Full Time,KSA 
386,2024-02-22 21:00:25.127000,Physiotherapist,0,6000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
388,2024-02-22 21:01:49.343000,Cad Designer,1,5000,1/20/0030,Egyption,On Site,Full Time,Cairo
389,2024-02-22 21:02:11.088000,IT compliance specialist ,3,15000,2020-01-15 00:00:00,Egyption,On Site,Full Time,Riyadh
390,2024-02-22 21:02:59.237000,Technical office engineer,8,5,2024-02-27 00:00:00,Egyption,On Site,Full Time,10th of ramadan city
392,2024-02-22 21:04:09.445000,English Instructor,14,10000,2024-01-30 00:00:00,Egyption,On Site,Full Time,
393,2024-02-22 21:04:42.455000,N ,Travel advisor ,10000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo 
394,2024-02-22 21:04:54.172000,Chemist,1,5000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Obour city
395,2024-02-22 21:08:32.568000,Android developer,5,50000,1993-01-20 00:00:00,Egyption,Hybird,Full Time,Cairo
396,2024-02-22 21:09:01.237000,Accounting manager ,15,45k,2024-01-24 00:00:00,Egyption,On Site,Full Time,Cai
397,2024-02-22 21:09:14.608000,Network Engineer ,5,30k,2023-10-01 00:00:00,Egyption,Hybird,Full Time,Cairo
398,2024-02-22 21:09:54.854000,DevOps Engineer,0.5,27900,2024-01-31 00:00:00,Egyption,Remotley,Full Time,
399,2024-02-22 21:11:10.703000,Backend Developer - Django ,1,12.5,2023-09-01 00:00:00,Egyption,Remotley,Full Time,cairo
400,2024-02-22 21:12:18.734000,Media buyer,2.5,8000,2024-02-05 00:00:00,Egyption,On Site,Full Time,Mansoura 
401,2024-02-22 21:12:29.625000,back-end developer ,0,18000,2023-01-15 00:00:00,Egyption,Hybird,Full Time,Cairo 
402,2024-02-22 21:16:02.658000,Procurement specialist,1,7300,2023-04-02 00:00:00,Egyption,On Site,Full Time,Cairo
405,2024-02-22 21:28:42.695000,Software Test Engineer,2,20000 EGP,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
407,2024-02-22 21:30:54.379000,Accounting manager,19,40000,2024-01-31 00:00:00,Egyption,Hybird,Full Time,Cairo
411,2024-02-22 21:34:52.097000,Technical office engineer,8,8000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
413,2024-02-22 21:40:54.273000,Talent acquisition specialist ,2.7,8500,2024-02-22 00:00:00,Egyption,Remotley,Full Time,Giza
415,2024-02-22 21:49:28.399000,ELECTRICAL ENGINEER ,3,11000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
416,2024-02-22 21:51:47.208000,Mobile developer ,3,16000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Alexandria 
417,2024-02-22 21:52:41.444000,RPA Developer ,0,12000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Cairo
418,2024-02-22 21:53:35.363000,Marketing manager ,6,10k ,2024-02-22 00:00:00,Egyption,On Site,Full Time,Alex
419,2024-02-22 21:56:42.879000,Front end ,1,9000,2024-02-29 00:00:00,Egyption,Remotley,Full Time,Saudi 
422,2024-02-22 22:01:08.956000,Radiologist,2 years,2500 le,2024-02-22 00:00:00,Egyption,On Site,Part Time,Tanta
423,2024-02-22 22:03:25.694000,Logistics assistant ,2,9000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo 
424,2024-02-22 22:04:37.060000,Software engineer (pyside),1,15000,2024-02-25 00:00:00,Egyption,Remotley,Full Time,Cairo
425,2024-02-22 22:05:41.076000,ا,غ,ع,2024-02-16 00:00:00,Egyption,On Site,Full Time,
426,2024-02-22 22:05:51.283000,Frontend engineer ,3,40000,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
427,2024-02-22 22:07:31.839000,IT specialist ,3,13000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Aswan
429,2024-02-22 22:08:53.978000,Pharmacist,5,5000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
430,2024-02-22 22:10:49.074000,NLP engineer ,Less than one year,6000,2024-02-01 00:00:00,Working in a project with Upwork top rated freelancer,Remotley,Part Time,
431,2024-02-22 22:10:57.132000,Full stack developer,< 1 month,5000,2023-02-15 00:00:00,Egyption,On Site,Full Time,Tanta
433,2024-02-22 22:12:34.412000,"Full-Stack (.Net, React)",6,60000,2023-09-01 00:00:00,Egyption,Hybird,Full Time,Cairo
435,2024-02-22 22:14:41.251000,Data Engineer,1,21000,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
436,2024-02-22 22:16:28.316000,Frontend developer,0,8000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
440,2024-02-22 22:31:53.526000,Production Engineer ,5,10000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
442,2024-02-22 22:39:57.289000,Physiotherapy ,5,6000,2024-02-01 00:00:00,Egyption,On Site,Full Time,
445,2024-02-22 22:47:24.375000,PHP Developer ,2,10000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo 
447,2024-02-22 22:49:24.790000,Cost control engineer,6,13000,2024-02-22 00:00:00,Egyption,On Site,Full Time,cairo
449,2024-02-22 22:52:20.775000,Pharmacist,1,2000,2024-02-22 00:00:00,Egyption,On Site,7 hours,Monufia
450,2024-02-22 22:52:22.564000,Writer ,4 years,8000,2024-03-01 00:00:00,Egyption,On Site,Full Time,Cairo
451,2024-02-22 22:52:55.640000,Frontend developer,3,25000,2023-08-24 00:00:00,Egyption,Hybird,Full Time,Cairo
452,2024-02-22 22:53:07.415000,Flutter Developer,1,13000,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
453,2024-02-22 22:53:29.717000,Senior planning engineer ,12,40k,2024-03-01 00:00:00,Egyption,On Site,Full Time,Cairo 
455,2024-02-22 22:54:31.730000,Engineer ,2,6000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
457,2024-02-22 22:55:35.721000,Wep developer ,4,5000,2020-09-01 00:00:00,Egyption,Hybird,Full Time,Cairo
459,2024-02-22 23:00:43.443000,Database Administrator ,2,46000,2024-02-15 00:00:00,Egyption,Hybird,Full Time,Smart
460,2024-02-22 23:01:03.667000,Data Engineer,1,12000,2023-02-01 00:00:00,Egyption,Hybird,Full Time,Alexandria
461,2024-02-22 23:01:29.800000,Electrical engineer,3,13k,2024-01-01 00:00:00,Egyption,Hybird,Full Time,10th of Ramadan city 
462,2024-02-22 23:02:05.108000,Biotechnology ,2,10000,2024-02-22 00:00:00,Egyption,Remotley,Part Time,Cairo 
464,2024-02-22 23:06:07.429000,Senior Contracts Engineer,24,30000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
465,2024-02-22 23:07:18.354000,Junior Data Scientist ,1,"Gross 22K, Net 17K",2023-08-01 00:00:00,Egyption,Hybird,Full Time,Cairo
466,2024-02-22 23:07:26.931000,Php,15,4500,2024-01-04 00:00:00,Egyption,On Site,Full Time,Giza
468,2024-02-22 23:09:44.671000,Product Designer ,4,35000,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
470,2024-02-22 23:11:53.704000,Business Intelligence Analyst,2,19600,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
471,2024-02-22 23:13:39.956000,System Admin,3,18000,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
473,2024-02-22 23:15:32.697000,Medical Representative,3,8000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
474,2024-02-22 23:17:51.977000,Online English Instructor,One year,5000,2024-02-15 00:00:00,Egyption,Remotley,Full Time,Cairo
475,2024-02-22 23:19:56.921000,Ai developer ,3 month (still a student ),6000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Giza Egypt 
479,2024-02-22 23:29:09.138000,Dentist,5,3000,1999-06-05 00:00:00,Egyption,On Site,Full Time,Cairo
480,2024-02-22 23:31:08.510000,Quality Control,4 years,15000 L.E,2024-01-10 00:00:00,Egyption,Remotley,Full Time,Cairo
481,2024-02-22 23:32:31.669000,Front end developer ,3,16500,2023-01-01 00:00:00,Egyption,On Site,Full Time,Alexandria 
482,2024-02-22 23:37:50.757000,Senior GIS ,5,15800,2024-01-01 00:00:00,Egyption,On Site,Full Time,Giza
483,2024-02-22 23:39:25.236000,Graphic designer ,3,9000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
484,2024-02-22 23:40:00.534000,Healthcare quality ,6,14500,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo 
486,2024-02-22 23:42:15.038000,iOS Developer,3,39000,2023-07-01 00:00:00,Egyption,Hybird,Full Time,Cairo
487,2024-02-22 23:43:18.648000,Veterinarian ,4,7000,2024-02-22 00:00:00,Egyption,On Site,Full Time,
488,2024-02-22 23:47:29.952000,Pharmacist,4 years,5000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
490,2024-02-22 23:50:39.495000,Civil Engineer ,8,25000,2024-01-02 00:00:00,Egyption,On Site,Full Time,Cairo
491,2024-02-22 23:52:12.442000,Community pharmacist ,1,5000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Alexandria
492,2024-02-22 23:55:03.270000,Hr manager,2,7000,2024-01-31 00:00:00,Egyption,On Site,Full Time,damietta
493,2024-02-22 23:57:33.312000,Backend Node.js,2,14000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
494,2024-02-22 23:58:23.899000,Flutter developer,1,ما يعادل 1200 ريال = 10000 جنيه,2024-02-22 00:00:00,Egyption,On Site,Full Time,Alexandria
496,2024-02-22 23:59:28.147000,h,y,h,2019-10-11 00:00:00,Egyption,On Site,Full Time,h
497,2024-02-23 00:04:07.571000,Sales real estate ,One year,3500,2024-02-22 00:00:00,Egyption,On Site,Full Time,Mansoura 
499,2024-02-23 00:09:16.162000,Mechanical engineering ,3,9000,2022-01-01 00:00:00,Egyption,On Site,Full Time,10th of ramadan
500,2024-02-23 00:10:41.340000,Creative Director ,9,60 K,2/24/0001,Egyption,On Site,Full Time,Cairo
501,2024-02-23 00:12:00.610000,Ui/ux designer,1,8000,2025-12-03 00:00:00,Egyption,Hybird,Full Time,
503,2024-02-23 00:13:41.575000,Front end developer ,3,20000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Cairo
505,2024-02-23 00:17:26.350000,Planning Engineer (Controls),7,47000,2024-01-24 00:00:00,Egyption,On Site,Full Time,Cairo
506,2024-02-23 00:20:19.780000,Business analyst and Bi developer,3,15000,2023-10-23 00:00:00,Egyption,Hybird,Full Time,Cairo
507,2024-02-23 00:21:35.497000,Big Data Engineer,2,23000,2024-01-31 00:00:00,Egyption,Hybird,Full Time,Maadi
508,2024-02-23 00:22:42.356000,Credit risk Team leader,2,20000,2024-01-27 00:00:00,Egyption,On Site,Full Time,Cairo 
509,2024-02-23 00:24:27.311000,Juinor front-end developer ,1,8000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,
510,2024-02-23 00:25:11.768000,SALES,1,5000,2024-01-03 00:00:00,Egyption,On Site,Full Time,Cairo
511,2024-02-23 00:30:21.124000,Java Developer,1,20000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,cairo
512,2024-02-23 00:32:55.258000,Php developer,I ,6000,2024-01-30 00:00:00,Egyption,Remotley,Full Time,Cairo
514,2024-02-23 00:33:49.978000,iOS Engineer ,3,50000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,
515,2024-02-23 00:35:01.598000,Next.js Developer,1,18,2024-02-01 00:00:00,Egyption,Remotley,Part Time,Kuwait
516,2024-02-23 00:38:23.004000,Customer success account manager ,1,8k,2024-01-25 00:00:00,Egyption,Hybird,Full Time,"Uk, Egypt "
517,2024-02-23 00:38:23.692000,Production Engineer ,6,18000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Ain sokhna
518,2024-02-23 00:42:28.563000,Physical therapist ,1,46 for hour,2024-02-01 00:00:00,Egyption,On Site,Hour,Obour
520,2024-02-23 00:47:55.191000,Restaurants maneger ,10,25000,2024-02-14 00:00:00,Egyption,On Site,Full Time,Cairo
521,2024-02-23 00:48:25.396000,Django Software Engineer,2,58000,2024-02-01 00:00:00,Egyption,Remotley,Along with uni (almost full-time),cairo
523,2024-02-23 00:50:22.512000,Data Analyst,1,15000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
526,2024-02-23 00:57:41.519000,brand developer,4,15000,2024-02-15 00:00:00,Egyption,On Site,Full Time,cairo
527,2024-02-23 00:58:02.686000,accountant ,2,5000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo 
528,2024-02-23 01:00:03.187000,Project control engineer,3,9000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
529,2024-02-23 01:05:20.509000,Backend developer,16,160k,2023-11-10 00:00:00,Egyption,On Site,Full Time,Cairo
530,2024-02-23 01:08:47.151000,Senior Software Engineer,5,113000,2024-02-23 00:00:00,"Egyptian, but clients out of Egypt",Remotely but sometimes goes to the office,Full Time,Cairo
531,2024-02-23 01:10:29.129000,Lawyer ,13,9000,2023-09-16 00:00:00,Egyption,On Site,Part Time, Cairo
533,2024-02-23 01:12:39.745000,Junior Frontend Engineer ,less than 1 year ,8000,2024-02-23 00:00:00,Egyption,Remotley,Full Time,6 october city 
535,2024-02-23 01:18:15.852000,Brogrammers,5,Thurasday,2024-02-23 00:00:00,Egyption,On Site,Part Time,cairo
536,2024-02-23 01:19:42.877000,Fullstack dotnet developer,1,20000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
538,2024-02-23 01:21:40.126000,Doctor ,5,5500,2024-02-23 00:00:00,Egyption,On Site,Full Time,Aswan
539,2024-02-23 01:26:17.766000,Machine Learning Engineer,<1,12000,2024-01-30 00:00:00,Egyption,Remotley,Full Time,Cairo
540,2024-02-23 01:26:22.768000,SS Account Manager ,10,90K,2022-08-14 00:00:00,Egyption,On Site,Full Time,Cairo
541,2024-02-23 01:27:22.558000,Head of Products,11,60000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
543,2024-02-23 01:28:34.156000,"Pharmacist, gov",6,5100,2024-02-20 00:00:00,Egyption,On Site,Full Time,
545,2024-02-23 01:37:22.378000,Senior travel consultant ,6,"10,000 egp",2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
550,2024-02-23 01:45:57.099000,DevOps Engineer,7,80,2024-02-01 00:00:00,Egyption,Hybird,Full Time,
551,2024-02-23 01:49:03.440000,Software Engineer,1,$900,2023-08-01 00:00:00,Egyption,Hybird,Full Time,Alexandria
553,2024-02-23 01:52:38.467000,Accountant,2,7500,2024-02-23 00:00:00,Egyption,On Site,Full Time,
554,2024-02-23 01:55:57.851000,Ai developer,3,20000,2024-01-01 00:00:00,Egyption,On Site,Full Time,
556,2024-02-23 01:57:27.050000,Agriculture engineer,1,5200,2001-08-07 00:00:00,Egyption,On Site,Full Time,Cairo
557,2024-02-23 01:57:36.474000,Data analyst,0,8000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
558,2024-02-23 01:59:14.273000,accountant ,1,8600,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo 
559,2024-02-23 02:00:49.325000,IT support,3,3000,2019-05-16 00:00:00,Egyption,On Site,Full Time,Minia
560,2024-02-23 02:01:46.660000,.NET Developer,4,45000,2024-02-25 00:00:00,Egyption,Hybird,Full Time,Cairo
561,2024-02-23 02:02:10.559000,Desk top,5,5000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
562,2024-02-23 02:03:48.622000,Engineer irrigation ,3,8,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo 
563,2024-02-23 02:04:39.099000,Planning engineer,6,23000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
564,2024-02-23 02:07:01.435000,Android developer,2,16000,2024-02-23 00:00:00,Egyption,Remotley,Full Time,"Cairo, Egypt "
565,2024-02-23 02:10:40.525000,.net developer,3,39000,2024-01-28 00:00:00,Egyption,Hybird,Full Time,
566,2024-02-23 02:18:17.967000,Marketing ,3,25,2024-09-12 00:00:00,Egyption,Hybird,Part Time,Cairo
567,2024-02-23 02:15:40.188000,Data management engineer,1,6000,2023-11-05 00:00:00,Egyption,Hybird,Full Time,Alexandria
568,2024-02-23 02:18:52.275000,Deputy branch head,16,37000,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
570,2024-02-23 02:25:14.145000,IT System Administrator ,5,40000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
571,2024-02-23 02:27:14.572000,Reliability engineer,3,16,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
574,2024-02-23 02:41:29.338000,Data scientist ,2,26000,2024-02-29 00:00:00,Egyption,Hybird,Full Time,Cairo
575,2024-02-23 02:41:30.128000,Php full stack,5,13000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
576,2024-02-23 02:45:48.202000,Sr.full stack developer php,5 years,13000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
578,2024-02-23 02:50:08.830000,Dc ,5,9000,12/2/0024,Egyption,Hybird,Full Time,Cairo
580,2024-02-23 03:03:39.626000,Otolaryngology consutant (MD  degree),Working since 1996 and consultant since 2006,12000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
581,2024-02-23 03:05:08.553000,Java Developer ,0.5,14000,2023-12-21 00:00:00,Egyption,Hybird,Full Time,Cairo
582,2024-02-23 03:05:45.506000,Project manager (site engineer),6,10000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Fifth settlement 
584,2024-02-23 03:13:00.431000,Junior odoo dev,4 months,15000 net salary,2023-12-01 00:00:00,Egyption,Hybird,Full Time,Cairo
586,2024-02-23 03:20:58.960000,Front end developer ,0,Idk,2024-03-01 00:00:00,Egyption,Remotley,Full Time,Dubai 
588,2024-02-23 03:25:45.496000,COO,15,20000,2024-01-03 00:00:00,Egyption,Hybird,Full Time,
589,2024-02-23 03:27:28.014000,Systems Engineer ,0,12000,2023-09-03 00:00:00,Egyption,On Site,Full Time,
590,2024-02-23 03:33:48.767000,Senior Product Designer,8,44000,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo 
592,2024-02-23 03:50:59.503000,Dentist,2,2400,2024-02-10 00:00:00,Egyption,On Site,Part Time,Elminia
593,2024-02-23 04:16:37.175000,Backend Engineer ,1,16000,2024-02-25 00:00:00,Egyption,Hybird,Full Time,Cairo 
594,2024-02-23 04:20:36.570000,Android Developer,4,16000,2023-08-01 00:00:00,Egyption,Hybird,Full Time,"Cairo, Egypt"
595,2024-02-23 04:20:47.354000,Java developer,1,14,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
596,2024-02-23 04:26:33.616000,Software developers,9,75000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
597,2024-02-23 04:27:03.637000,Dental Technologist ,2,6000,2024-02-25 00:00:00,Egyption,On Site,Full Time,Alexandria
598,2024-02-23 04:31:23.580000,Pharmacist ,4,8700,2024-02-01 00:00:00,Egyption,On Site,حوالي ٨٠ ساعة اسبوعيا,Cairo
602,2024-02-23 04:38:03.369000,Senior Site Reliability Engineer,3,98k EGP + ~1000 USD in Stocks,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo/US
603,2024-02-23 04:41:50.978000,Android developer ,2,20000,2023-12-03 00:00:00,Egyption,Hybird,Full Time,October 
605,2024-02-23 05:03:17.724000,.,.,.,2024-02-23 00:00:00,Egyption,On Site,Full Time,
606,2024-02-23 05:11:10.632000,Software Engineer,2,15000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
608,2024-02-23 05:12:52.919000,Accounting ,0,2500,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
609,2024-02-23 05:19:10.403000,Csr ,1,9500,2024-02-01 00:00:00,Egyption,On Site,Full Time,Alexandria
610,2024-02-23 05:25:39.360000,Customer Service Executive ,3,11000,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
611,2024-02-23 05:26:16.339000,Senior android developer ,4,60 k,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
612,2024-02-23 05:39:06.055000,Backend developer ,1,7000,2023-10-31 00:00:00,Egyption,On Site,Full Time,Cairo 
613,2024-02-23 05:45:34.224000,Php developer ,4,45000,2023-05-01 00:00:00,Egyption,Remotley,Full Time,Cairo 
617,2024-02-23 06:08:06.893000,Mid level ios software engineer ,3,25 K,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
618,2024-02-23 06:09:07.367000,Senior Key Account Manager ,3,15000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo 
620,2024-02-23 06:31:21.632000,Oracle Consultant ,1.5,12000,2024-02-01 00:00:00,Egyption,Remotley,Full Time,Cairo 
621,2024-02-23 06:32:00.309000,Backend java developer,Almost 8 months ,25000,2024-01-27 00:00:00,Egyption,On Site,Full Time,Cairo 
622,2024-02-23 06:34:05.904000,Property consultant ,1,6000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Cairo
623,2024-02-23 06:36:11.395000,Call center ,1,3400,2024-02-28 00:00:00,Ison,On Site,Full Time,Assuit
624,2024-02-23 06:38:36.380000,.NET intern,0,500 EGP,2024-02-23 00:00:00,Egyption,On Site,Full Time,nasr city
625,2024-02-23 06:51:20.437000,Software Developer,3,27000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Alexandria
626,2024-02-23 07:05:41.200000,Performance Analyst,1,18000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
627,2024-02-23 07:07:59.798000,.Net developer,0.5,10000,2024-02-28 00:00:00,Egyption,Hybird,Full Time,Cairo
628,2024-02-23 07:08:08.064000,IT business analyst ,1,15000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Giza
630,2024-02-23 07:29:33.626000,Assistant of pharmacy ,6,1250,2024-07-01 00:00:00,Egyption,On Site,Part Time,El Minya
631,2024-02-23 07:30:31.906000,Software Engineer,1,15000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
632,2024-02-23 07:31:14.270000,.net developer,4,30000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
633,2024-02-23 07:39:22.380000,Senior consultant media monitoring ,5,8000,2024-02-25 00:00:00,Egyption,Tow days per week ,Full Time,Cairo
